espanso	Hi there!	Welcome message
bug	🐛	Emoji: Bug
clean	🧹	Emoji: Clean
play	▶️	Emoji: Play
stop	⏹️	Emoji: Stop
pause	⏸️	Emoji: Pause
step	⏭️	Emoji: Next
point	👉	Emoji: Point
ok	👌	Emoji: OK
hs	🤝	Emoji: Handshake
up	👍	Emoji: Thumbs up
down	👎	Emoji: Thumbs down
pray	🙏	Emoji: Pray
clap	👏	Emoji: Clap
wave	👋	Emoji: Wave
muscle	💪	Emoji: Muscle
write	✍️	Emoji: Writing
tr	🇹🇷	Flag: Turkey
en	🇬🇧	Flag: UK
us	🇺🇸	Flag: USA
lp	💻	Emoji: Laptop
mouse	🖱️	Emoji: Mouse
mon	🖥️	Emoji: Monitor
ph	📱	Emoji: Phone
bulb	💡	Emoji: Idea
tool	🛠️	Emoji: Tools
ham	🔨	Emoji: Hammer
wrench	🔧	Emoji: Wrench
bolt	⚡	Emoji: Lightning
mail	✉️	Emoji: Mail
letter	📩	Emoji: Letter
warn2	❗	Emoji: Exclamation
que	❓	Emoji: Question
100	💯	Emoji: 100
db	🗄️	Emoji: Database
doc	📄	Emoji: Document
box	📦	Emoji: Box
search	🔍	Emoji: Search
person	👤	Emoji: Person
link	🔗	Emoji: Link
